0.12089E-07 0.80410E-10 0.00000E+01 225030 0 0 5622 0.46600E+12 0.00000E+01 0.12008E-07 0.00000E+01 0.00000E+01 0
1 1.2087e-08 4.3165e-10 3.5712 1.2127e-06 1.2078e-08
2 1.2253e-08 2.2418e-10 2.5874 5.8645e-07 1.2191e-08
3 1.2135e-08 1.3557e-10 2.2343 5.4306e-07 1.211e-08
4 1.2883e-08 4.8397e-10 3.7567 1.3713e-06 1.288e-08
5 1.2241e-08 2.4875e-10 2.8739 9.1285e-07 1.2169e-08
6 1.1962e-08 1.6853e-10 2.8178 3.3096e-06 1.1782e-08
7 1.1803e-08 4.0425e-10 3.4251 1.31e-06 1.1379e-08
8 1.1735e-08 2.1379e-10 2.5765 7.4001e-07 1.1706e-08
9 1.2092e-08 1.3509e-10 2.2345 5.5571e-07 1.2034e-08
<lo_statistics>
<cumulated_time> 6.017220999999999 </cumulated_time>
</lo_statistics>
