0.11942E-07 0.88793E-10 0.00000E+01 105030 0 0 4192 0.35110E+12 0.00000E+01 0.11889E-07 0.00000E+01 0.00000E+01 0
1 1.2521e-08 1.4796e-09 8.3562 5.6805e-06 9.8982e-09
2 1.1664e-08 3.1976e-10 2.7415 4.7239e-07 1.1647e-08
3 1.1712e-08 1.7055e-10 2.0594 4.9039e-07 1.164e-08
4 1.2006e-08 1.1491e-09 6.7678 2.7548e-06 1.2004e-08
5 1.1606e-08 3.4818e-10 3.0001 8.4548e-07 1.1598e-08
6 1.2123e-08 1.8515e-10 2.1599 5.5217e-07 1.2103e-08
7 1.2877e-08 1.1476e-09 6.3019 2.499e-06 1.2827e-08
8 1.2157e-08 3.2909e-10 2.707 4.1906e-07 1.2083e-08
9 1.2064e-08 1.6948e-10 1.9867 2.6123e-07 1.2016e-08
<lo_statistics>
<cumulated_time> 2.918228 </cumulated_time>
</lo_statistics>
