0.26228E-06 0.15748E-08 0.00000E+01 175050 0 0 7907 0.30170E+11 0.00000E+01 0.26146E-06 0.00000E+01 0.00000E+01 0
1 2.7238e-07 3.2926e-08 8.5477 8.1809e-05 2.7228e-07
2 2.6747e-07 8.0734e-09 3.0185 1.6596e-05 2.6589e-07
3 2.6229e-07 2.9213e-09 1.5751 7.3299e-06 2.6189e-07
4 2.7431e-07 3.5956e-08 9.2688 7.4807e-05 2.7368e-07
5 2.6664e-07 9.8567e-09 3.6967 2.7101e-05 2.6624e-07
6 2.6048e-07 3.4314e-09 1.863 6.9802e-06 2.6011e-07
7 2.2038e-07 2.9274e-08 9.3926 7.3002e-05 2.2038e-07
8 2.7277e-07 9.1348e-09 3.3489 1.8101e-05 2.7213e-07
9 2.5974e-07 3.1276e-09 1.7029 1.1817e-05 2.5806e-07
10 2.9526e-07 4.7211e-08 11.306 0.0001235 2.9413e-07
11 2.5658e-07 7.6876e-09 2.9961 2.4435e-05 2.557e-07
12 2.6244e-07 3.1121e-09 1.677 6.6797e-06 2.6147e-07
13 2.1852e-07 3.1589e-08 10.222 8.2735e-05 2.1805e-07
14 2.5634e-07 9.1115e-09 3.5544 1.8709e-05 2.5598e-07
15 2.6622e-07 3.8711e-09 2.0564 1.0906e-05 2.6549e-07
<lo_statistics>
<cumulated_time> 4.739704 </cumulated_time>
</lo_statistics>
